;Tweet;Sentimen;step01;tokens;final_tokens;step02
181;gila serem bgt tante gue abis ngeoprasi org sesaran taunya doi positif covid;0.0;gila serem bgt tante gue abis ngeoprasi org sesaran taunya doi positif covid;['gila', 'serem', 'bgt', 'tante', 'gue', 'abis', 'ngeoprasi', 'org', 'sesaran', 'taunya', 'doi', 'positif', 'covid'];['gila', 'serem', 'bgt', 'tante', 'gue', 'abis', 'ngeoprasi', 'org', 'sesaran', 'taunya', 'doi', 'positif', 'covid'];gila serem bgt tante gue abis ngeoprasi org sesaran taunya doi positif covid
182;BERSAMA LAWAN COVID-19 polisi_palembang anom_setyadji andes9899 irwan_to.sik05;1.0;bersama lawan covid   polisi_palembang anom_setyadji andes irwan_to sik;['bersama', 'lawan', 'covid', 'polisi_palembang', 'anom_setyadji', 'andes', 'irwan_to', 'sik'];['bersama', 'lawan', 'covid', 'polisi_palembang', 'anom_setyadji', 'andes', 'irwan_to', 'sik'];bersama lawan covid polisi_palembang anom_setyadji andes irwan_to sik
183;Stay safe demi mencergah penyebaran peluasan wabah covid 19 bareng smartfren ;0.0;stay safe demi mencergah penyebaran peluasan wabah covid   bareng smartfren;['stay', 'safe', 'demi', 'mencergah', 'penyebaran', 'peluasan', 'wabah', 'covid', 'bareng', 'smartfren'];['stay', 'safe', 'demi', 'mencergah', 'penyebaran', 'peluasan', 'wabah', 'covid', 'bareng', 'smartfren'];stay safe demi mencergah penyebaran peluasan wabah covid bareng smartfren
184;Yuk, setelah covid berakhir. Tapi pengen bgt ke argopuro gas;0.0;yuk setelah covid berakhir tapi pengen bgt ke argopuro gas;['yuk', 'setelah', 'covid', 'berakhir', 'tapi', 'pengen', 'bgt', 'ke', 'argopuro', 'gas'];['yuk', 'setelah', 'covid', 'berakhir', 'tapi', 'pengen', 'bgt', 'ke', 'argopuro', 'gas'];yuk setelah covid berakhir tapi pengen bgt ke argopuro gas
185;Kenapa harus banget ngikutin berita covid ? Karna di ruang isolasi itu ga enak banget Astagfirullah cukup sekali dan semoga virus ini segera lenyap dari bumi;1.0;kenapa harus banget ngikutin berita covid karna di ruang isolasi itu ga enak banget astagfirullah cukup sekali dan semoga virus ini segera lenyap dari bumi;['kenapa', 'harus', 'banget', 'ngikutin', 'berita', 'covid', 'karna', 'di', 'ruang', 'isolasi', 'itu', 'ga', 'enak', 'banget', 'astagfirullah', 'cukup', 'sekali', 'dan', 'semoga', 'virus', 'ini', 'segera', 'lenyap', 'dari', 'bumi'];['kenapa', 'harus', 'banget', 'ngikutin', 'berita', 'covid', 'karna', 'di', 'ruang', 'isolasi', 'itu', 'ga', 'enak', 'banget', 'astagfirullah', 'cukup', 'sekali', 'dan', 'semoga', 'virus', 'ini', 'segera', 'lenyap', 'dari', 'bumi'];kenapa harus banget ngikutin berita covid karna di ruang isolasi itu ga enak banget astagfirullah cukup sekali dan semoga virus ini segera lenyap dari bumi
186;Punten ini rapid test covid kah mas nya?;0.0;punten ini rapid test covid kah mas nya;['punten', 'ini', 'rapid', 'test', 'covid', 'kah', 'mas', 'nya'];['punten', 'ini', 'rapid', 'test', 'covid', 'kah', 'mas', 'nya'];punten ini rapid test covid kah mas nya
187;Bali terkini (April 2020), efek global Covid-19.Simak selengkapnya pada video saya,Link youtube:;0.0;bali terkini <date> efek global covid   simak selengkapnya pada video saya link youtube;['bali', 'terkini', '<', 'date', '>', 'efek', 'global', 'covid', 'simak', 'selengkapnya', 'pada', 'video', 'saya', 'link', 'youtube'];['bali', 'terkini', '<', 'date', '>', 'efek', 'global', 'covid', 'simak', 'selengkapnya', 'pada', 'video', 'saya', 'link', 'youtube'];bali terkini < date > efek global covid simak selengkapnya pada video saya link youtube
188;Satu hari dia (Covid-19),akan pulang ke tempat asalnya... Tapi smp waktu itu kita harus terus bersabar dan berdoa moga semuanya dipermudahkan - Ustaz Fawwaz ;1.0;satu hari dia covid   akan pulang ke tempat asalnya tapi smp waktu itu kita harus terus bersabar dan berdoa moga semuanya dipermudahkan ustaz fawwaz;['satu', 'hari', 'dia', 'covid', 'akan', 'pulang', 'ke', 'tempat', 'asalnya', 'tapi', 'smp', 'waktu', 'itu', 'kita', 'harus', 'terus', 'bersabar', 'dan', 'berdoa', 'moga', 'semuanya', 'dipermudahkan', 'ustaz', 'fawwaz'];['satu', 'hari', 'dia', 'covid', 'akan', 'pulang', 'ke', 'tempat', 'asalnya', 'tapi', 'smp', 'waktu', 'itu', 'kita', 'harus', 'terus', 'bersabar', 'dan', 'berdoa', 'moga', 'semuanya', 'dipermudahkan', 'ustaz', 'fawwaz'];satu hari dia covid akan pulang ke tempat asalnya tapi smp waktu itu kita harus terus bersabar dan berdoa moga semuanya dipermudahkan ustaz fawwaz
189;Mau gimana lagi? Kalo sampe dia bilang masuk tuh covid. Minta bantuin siapa? Dia kan memusuhi seluruh dunia. Bener gak si?;-1.0;mau gimana lagi kalo sampe dia bilang masuk tuh covid minta bantuin siapa dia kan memusuhi seluruh dunia bener gak si;['mau', 'gimana', 'lagi', 'kalo', 'sampe', 'dia', 'bilang', 'masuk', 'tuh', 'covid', 'minta', 'bantuin', 'siapa', 'dia', 'kan', 'memusuhi', 'seluruh', 'dunia', 'bener', 'gak', 'si'];['mau', 'gimana', 'lagi', 'kalo', 'sampe', 'dia', 'bilang', 'masuk', 'tuh', 'covid', 'minta', 'bantuin', 'siapa', 'dia', 'kan', 'memusuhi', 'seluruh', 'dunia', 'bener', 'gak', 'si'];mau gimana lagi kalo sampe dia bilang masuk tuh covid minta bantuin siapa dia kan memusuhi seluruh dunia bener gak si
190;Hahaha... Org2 yg tak waras.. Disaat2 sperti inicoba jgn gunakan politik... jgn grogoti dulu pemerintah... marilah kita sama2 tumbangkan covid 19 dulu... stelah 2024 nanti baru kita tumbangkan presiden.. Bukan begitu kan bang.... memangbetul2 ssh org yg ambisi kuasa..sabarlah...;-1.0;hahaha org yg tak waras disaat sperti inicoba jgn gunakan politik jgn grogoti dulu pemerintah marilah kita sama tumbangkan covid   dulu stelah   nanti baru kita tumbangkan presiden bukan begitu kan bang memangbetul ssh org yg ambisi kuasa sabarlah;['hahaha', 'org', 'yg', 'tak', 'waras', 'disaat', 'sperti', 'inicoba', 'jgn', 'gunakan', 'politik', 'jgn', 'grogoti', 'dulu', 'pemerintah', 'marilah', 'kita', 'sama', 'tumbangkan', 'covid', 'dulu', 'stelah', 'nanti', 'baru', 'kita', 'tumbangkan', 'presiden', 'bukan', 'begitu', 'kan', 'bang', 'memangbetul', 'ssh', 'org', 'yg', 'ambisi', 'kuasa', 'sabarlah'];['hahaha', 'org', 'yg', 'tak', 'waras', 'disaat', 'sperti', 'inicoba', 'jgn', 'gunakan', 'politik', 'jgn', 'grogoti', 'dulu', 'pemerintah', 'marilah', 'kita', 'sama', 'tumbangkan', 'covid', 'dulu', 'stelah', 'nanti', 'baru', 'kita', 'tumbangkan', 'presiden', 'bukan', 'begitu', 'kan', 'bang', 'memangbetul', 'ssh', 'org', 'yg', 'ambisi', 'kuasa', 'sabarlah'];hahaha org yg tak waras disaat sperti inicoba jgn gunakan politik jgn grogoti dulu pemerintah marilah kita sama tumbangkan covid dulu stelah nanti baru kita tumbangkan presiden bukan begitu kan bang memangbetul ssh org yg ambisi kuasa sabarlah
191;KBRI Phnom Penh Peduli WNI dan Pencegahan COVID-19;1.0;kbri phnom penh peduli wni dan pencegahan covid  ;['kbri', 'phnom', 'penh', 'peduli', 'wni', 'dan', 'pencegahan', 'covid'];['kbri', 'phnom', 'penh', 'peduli', 'wni', 'dan', 'pencegahan', 'covid'];kbri phnom penh peduli wni dan pencegahan covid
192;Virus Covid menyerang paru-paru, tapi Virus Cinta awak menyerang hati saya. Hehe;0.0;virus covid menyerang paru paru tapi virus cinta awak menyerang hati saya hehe;['virus', 'covid', 'menyerang', 'paru', 'paru', 'tapi', 'virus', 'cinta', 'awak', 'menyerang', 'hati', 'saya', 'hehe'];['virus', 'covid', 'menyerang', 'paru', 'paru', 'tapi', 'virus', 'cinta', 'awak', 'menyerang', 'hati', 'saya', 'hehe'];virus covid menyerang paru paru tapi virus cinta awak menyerang hati saya hehe
193;Hasil Rapid Test Covid 19, semua Ulama di Tasimalaya, Jabar Negatif Virus Corona.Alhamdulillah, semoga Allah senantiasa selalu menjaga semua Ulama, Kiyai, Ustadz, Ustadzah, Da'i, Pengurus Masjid di seluruh Indonesia. Aamiin...;1.0;hasil rapid test covid   semua ulama di tasimalaya jabar negatif virus corona alhamdulillah semoga allah senantiasa selalu menjaga semua ulama kiyai ustadz ustadzah da pengurus masjid di seluruh indonesia aamiin;['hasil', 'rapid', 'test', 'covid', 'semua', 'ulama', 'di', 'tasimalaya', 'jabar', 'negatif', 'virus', 'corona', 'alhamdulillah', 'semoga', 'allah', 'senantiasa', 'selalu', 'menjaga', 'semua', 'ulama', 'kiyai', 'ustadz', 'ustadzah', 'da', 'pengurus', 'masjid', 'di', 'seluruh', 'indonesia', 'aamiin'];['hasil', 'rapid', 'test', 'covid', 'semua', 'ulama', 'di', 'tasimalaya', 'jabar', 'negatif', 'virus', 'corona', 'alhamdulillah', 'semoga', 'allah', 'senantiasa', 'selalu', 'menjaga', 'semua', 'ulama', 'kiyai', 'ustadz', 'ustadzah', 'da', 'pengurus', 'masjid', 'di', 'seluruh', 'indonesia', 'aamiin'];hasil rapid test covid semua ulama di tasimalaya jabar negatif virus corona alhamdulillah semoga allah senantiasa selalu menjaga semua ulama kiyai ustadz ustadzah da pengurus masjid di seluruh indonesia aamiin
194;HMS Itenas Bandung melalui Satgas Covid-19 Yayasan Wanadri bekerjasama dan bersatu melawan Covid-19 dengan upaya penggalangan dana yang akan digunakan untuk membeli sejumlah alat perlengkapan medis di sejumlah Rumah Sakit di Jawa Barat.;1.0;hms itenas bandung melalui satgas covid   yayasan wanadri bekerjasama dan bersatu melawan covid   dengan upaya penggalangan dana yang akan digunakan untuk membeli sejumlah alat perlengkapan medis di sejumlah rumah sakit di jawa barat;['hms', 'itenas', 'bandung', 'melalui', 'satgas', 'covid', 'yayasan', 'wanadri', 'bekerjasama', 'dan', 'bersatu', 'melawan', 'covid', 'dengan', 'upaya', 'penggalangan', 'dana', 'yang', 'akan', 'digunakan', 'untuk', 'membeli', 'sejumlah', 'alat', 'perlengkapan', 'medis', 'di', 'sejumlah', 'rumah', 'sakit', 'di', 'jawa', 'barat'];['hms', 'itenas', 'bandung', 'melalui', 'satgas', 'covid', 'yayasan', 'wanadri', 'bekerjasama', 'dan', 'bersatu', 'melawan', 'covid', 'dengan', 'upaya', 'penggalangan', 'dana', 'yang', 'akan', 'digunakan', 'untuk', 'membeli', 'sejumlah', 'alat', 'perlengkapan', 'medis', 'di', 'sejumlah', 'rumah', 'sakit', 'di', 'jawa', 'barat'];hms itenas bandung melalui satgas covid yayasan wanadri bekerjasama dan bersatu melawan covid dengan upaya penggalangan dana yang akan digunakan untuk membeli sejumlah alat perlengkapan medis di sejumlah rumah sakit di jawa barat
195;[HMS Itenas Peduli] Pandemi Covid-19 menghadirkan berbagai keprihatinan sosial di seluruh Indonesia. Sudah saatnya kita keluarga besar HMS Itenas Bandung turun tangan memberikan bantuan kemanusiaan. Ayo Berdonasi untuk Dukung Perlengkapan Medis Tenaga Kesehatan COVID-19!;1.0;hms itenas peduli pandemi covid   menghadirkan berbagai keprihatinan sosial di seluruh indonesia sudah saatnya kita keluarga besar hms itenas bandung turun tangan memberikan bantuan kemanusiaan ayo berdonasi untuk dukung perlengkapan medis tenaga kesehatan covid  ;['hms', 'itenas', 'peduli', 'pandemi', 'covid', 'menghadirkan', 'berbagai', 'keprihatinan', 'sosial', 'di', 'seluruh', 'indonesia', 'sudah', 'saatnya', 'kita', 'keluarga', 'besar', 'hms', 'itenas', 'bandung', 'turun', 'tangan', 'memberikan', 'bantuan', 'kemanusiaan', 'ayo', 'berdonasi', 'untuk', 'dukung', 'perlengkapan', 'medis', 'tenaga', 'kesehatan', 'covid'];['hms', 'itenas', 'peduli', 'pandemi', 'covid', 'menghadirkan', 'berbagai', 'keprihatinan', 'sosial', 'di', 'seluruh', 'indonesia', 'sudah', 'saatnya', 'kita', 'keluarga', 'besar', 'hms', 'itenas', 'bandung', 'turun', 'tangan', 'memberikan', 'bantuan', 'kemanusiaan', 'ayo', 'berdonasi', 'untuk', 'dukung', 'perlengkapan', 'medis', 'tenaga', 'kesehatan', 'covid'];hms itenas peduli pandemi covid menghadirkan berbagai keprihatinan sosial di seluruh indonesia sudah saatnya kita keluarga besar hms itenas bandung turun tangan memberikan bantuan kemanusiaan ayo berdonasi untuk dukung perlengkapan medis tenaga kesehatan covid
196;Covid 19 Mahasiswa dan Pemda, Andi Hasriadi : Biarkan Kami Tetap Hidup Menjadi Generasi Pelanjut;1.0;covid   mahasiswa dan pemda andi hasriadi biarkan kami tetap hidup menjadi generasi pelanjut;['covid', 'mahasiswa', 'dan', 'pemda', 'andi', 'hasriadi', 'biarkan', 'kami', 'tetap', 'hidup', 'menjadi', 'generasi', 'pelanjut'];['covid', 'mahasiswa', 'dan', 'pemda', 'andi', 'hasriadi', 'biarkan', 'kami', 'tetap', 'hidup', 'menjadi', 'generasi', 'pelanjut'];covid mahasiswa dan pemda andi hasriadi biarkan kami tetap hidup menjadi generasi pelanjut
197;Antisipasi Kemungkinan Lain, Pasien Sesak Nafas Dikebumikan Dengan Protap Pemakaman PDP Covid-19 -;1.0;antisipasi kemungkinan lain pasien sesak nafas dikebumikan dengan protap pemakaman pdp covid  ;['antisipasi', 'kemungkinan', 'lain', 'pasien', 'sesak', 'nafas', 'dikebumikan', 'dengan', 'protap', 'pemakaman', 'pdp', 'covid'];['antisipasi', 'kemungkinan', 'lain', 'pasien', 'sesak', 'nafas', 'dikebumikan', 'dengan', 'protap', 'pemakaman', 'pdp', 'covid'];antisipasi kemungkinan lain pasien sesak nafas dikebumikan dengan protap pemakaman pdp covid
198;Selagi vaccine tak jumpa, selagi tu bahaya covid 19 ni;0.0;selagi vaccine tak jumpa selagi tu bahaya covid   ni;['selagi', 'vaccine', 'tak', 'jumpa', 'selagi', 'tu', 'bahaya', 'covid', 'ni'];['selagi', 'vaccine', 'tak', 'jumpa', 'selagi', 'tu', 'bahaya', 'covid', 'ni'];selagi vaccine tak jumpa selagi tu bahaya covid ni
199;Idup udh susah bgt ya.. Tambah covid makin susah.. Perekonomian beneran anjlokk..Udahann kek pandemi ini ;-1.0;idup udh susah bgt ya tambah covid makin susah perekonomian beneran anjlokk udahann kek pandemi ini;['idup', 'udh', 'susah', 'bgt', 'ya', 'tambah', 'covid', 'makin', 'susah', 'perekonomian', 'beneran', 'anjlokk', 'udahann', 'kek', 'pandemi', 'ini'];['idup', 'udh', 'susah', 'bgt', 'ya', 'tambah', 'covid', 'makin', 'susah', 'perekonomian', 'beneran', 'anjlokk', 'udahann', 'kek', 'pandemi', 'ini'];idup udh susah bgt ya tambah covid makin susah perekonomian beneran anjlokk udahann kek pandemi ini
200;Cegah Penyebaran Virus Covid-19, PUK SPAI FSPMI PT. Nipro Indonesia Jaya Bagikan Masker dan Hand Sanitizer Untuk Anggota;1.0;cegah penyebaran virus covid   puk spai fspmi pt nipro indonesia jaya bagikan masker dan hand sanitizer untuk anggota;['cegah', 'penyebaran', 'virus', 'covid', 'puk', 'spai', 'fspmi', 'pt', 'nipro', 'indonesia', 'jaya', 'bagikan', 'masker', 'dan', 'hand', 'sanitizer', 'untuk', 'anggota'];['cegah', 'penyebaran', 'virus', 'covid', 'puk', 'spai', 'fspmi', 'pt', 'nipro', 'indonesia', 'jaya', 'bagikan', 'masker', 'dan', 'hand', 'sanitizer', 'untuk', 'anggota'];cegah penyebaran virus covid puk spai fspmi pt nipro indonesia jaya bagikan masker dan hand sanitizer untuk anggota
201;kemenkeuri Tak bisa dipungkiri, aktivitas perekonomian yang kian tertekan akibat Covid-19 membuat banyak orang harus kehilangan pekerjaan penghasilan.Pemerintah telah menyusun strategi untuk;1.0;kemenkeuri tak bisa dipungkiri aktivitas perekonomian yang kian tertekan akibat covid   membuat banyak orang harus kehilangan pekerjaan penghasilan pemerintah telah menyusun strategi untuk;['kemenkeuri', 'tak', 'bisa', 'dipungkiri', 'aktivitas', 'perekonomian', 'yang', 'kian', 'tertekan', 'akibat', 'covid', 'membuat', 'banyak', 'orang', 'harus', 'kehilangan', 'pekerjaan', 'penghasilan', 'pemerintah', 'telah', 'menyusun', 'strategi', 'untuk'];['kemenkeuri', 'tak', 'bisa', 'dipungkiri', 'aktivitas', 'perekonomian', 'yang', 'kian', 'tertekan', 'akibat', 'covid', 'membuat', 'banyak', 'orang', 'harus', 'kehilangan', 'pekerjaan', 'penghasilan', 'pemerintah', 'telah', 'menyusun', 'strategi', 'untuk'];kemenkeuri tak bisa dipungkiri aktivitas perekonomian yang kian tertekan akibat covid membuat banyak orang harus kehilangan pekerjaan penghasilan pemerintah telah menyusun strategi untuk
202;Koruptor bebas karena alasan Covid-19? Apakah benar ini bukti keberpihakan pemerintah kepada tikus tikus negara? Hmm, simak jawabannya di video ini ;0.0;koruptor bebas karena alasan covid   apakah benar ini bukti keberpihakan pemerintah kepada tikus tikus negara hmm simak jawabannya di video ini;['koruptor', 'bebas', 'karena', 'alasan', 'covid', 'apakah', 'benar', 'ini', 'bukti', 'keberpihakan', 'pemerintah', 'kepada', 'tikus', 'tikus', 'negara', 'hmm', 'simak', 'jawabannya', 'di', 'video', 'ini'];['koruptor', 'bebas', 'karena', 'alasan', 'covid', 'apakah', 'benar', 'ini', 'bukti', 'keberpihakan', 'pemerintah', 'kepada', 'tikus', 'tikus', 'negara', 'hmm', 'simak', 'jawabannya', 'di', 'video', 'ini'];koruptor bebas karena alasan covid apakah benar ini bukti keberpihakan pemerintah kepada tikus tikus negara hmm simak jawabannya di video ini
203;Ada 15 cra mnyurh Covid-19 sgr prg 5.Jngn lgi mlas ke Msjd dll. Bkankh Covid-19 tlh mndidk kta, bgaimna sdh & strssnya kta tnpa ada tmpt mmohn,brdoa,tk bsa bribdh brjamah &shalt di Msjd dlm suasna btin yg dmai. Bgaimna sdhnya mlps sdr kta yg mninggl tnpa dishltkn di Msjd?.;1.0;ada   cra mnyurh covid   sgr prg   jngn lgi mlas ke msjd dll bkankh covid   tlh mndidk kta bgaimna sdh strssnya kta tnpa ada tmpt mmohn brdoa tk bsa bribdh brjamah shalt di msjd dlm suasna btin yg dmai bgaimna sdhnya mlps sdr kta yg mninggl tnpa dishltkn di msjd;['ada', 'cra', 'mnyurh', 'covid', 'sgr', 'prg', 'jngn', 'lgi', 'mlas', 'ke', 'msjd', 'dll', 'bkankh', 'covid', 'tlh', 'mndidk', 'kta', 'bgaimna', 'sdh', 'strssnya', 'kta', 'tnpa', 'ada', 'tmpt', 'mmohn', 'brdoa', 'tk', 'bsa', 'bribdh', 'brjamah', 'shalt', 'di', 'msjd', 'dlm', 'suasna', 'btin', 'yg', 'dmai', 'bgaimna', 'sdhnya', 'mlps', 'sdr', 'kta', 'yg', 'mninggl', 'tnpa', 'dishltkn', 'di', 'msjd'];['ada', 'cra', 'mnyurh', 'covid', 'sgr', 'prg', 'jngn', 'lgi', 'mlas', 'ke', 'msjd', 'dll', 'bkankh', 'covid', 'tlh', 'mndidk', 'kta', 'bgaimna', 'sdh', 'strssnya', 'kta', 'tnpa', 'ada', 'tmpt', 'mmohn', 'brdoa', 'tk', 'bsa', 'bribdh', 'brjamah', 'shalt', 'di', 'msjd', 'dlm', 'suasna', 'btin', 'yg', 'dmai', 'bgaimna', 'sdhnya', 'mlps', 'sdr', 'kta', 'yg', 'mninggl', 'tnpa', 'dishltkn', 'di', 'msjd'];ada cra mnyurh covid sgr prg jngn lgi mlas ke msjd dll bkankh covid tlh mndidk kta bgaimna sdh strssnya kta tnpa ada tmpt mmohn brdoa tk bsa bribdh brjamah shalt di msjd dlm suasna btin yg dmai bgaimna sdhnya mlps sdr kta yg mninggl tnpa dishltkn di msjd
204;Secara langsung mereka sudah ODP harus lakukan treat pada mreka utk dilakukan screening Covid-19;1.0;secara langsung mereka sudah odp harus lakukan treat pada mreka utk dilakukan screening covid  ;['secara', 'langsung', 'mereka', 'sudah', 'odp', 'harus', 'lakukan', 'treat', 'pada', 'mreka', 'utk', 'dilakukan', 'screening', 'covid'];['secara', 'langsung', 'mereka', 'sudah', 'odp', 'harus', 'lakukan', 'treat', 'pada', 'mreka', 'utk', 'dilakukan', 'screening', 'covid'];secara langsung mereka sudah odp harus lakukan treat pada mreka utk dilakukan screening covid
205;Asrama Haji Pondok Gede Siap Digunakan untuk Ruang Isolasi Covid-19 -;1.0;asrama haji pondok gede siap digunakan untuk ruang isolasi covid  ;['asrama', 'haji', 'pondok', 'gede', 'siap', 'digunakan', 'untuk', 'ruang', 'isolasi', 'covid'];['asrama', 'haji', 'pondok', 'gede', 'siap', 'digunakan', 'untuk', 'ruang', 'isolasi', 'covid'];asrama haji pondok gede siap digunakan untuk ruang isolasi covid
206;Ada banyak hikmah dari bencana Covid-19. Salah satunya memperlihatkan bahwa disiplin itu bukan kualitas alamiah manusia, tapi memang bentukan dengan paksaan;1.0;ada banyak hikmah dari bencana covid   salah satunya memperlihatkan bahwa disiplin itu bukan kualitas alamiah manusia tapi memang bentukan dengan paksaan;['ada', 'banyak', 'hikmah', 'dari', 'bencana', 'covid', 'salah', 'satunya', 'memperlihatkan', 'bahwa', 'disiplin', 'itu', 'bukan', 'kualitas', 'alamiah', 'manusia', 'tapi', 'memang', 'bentukan', 'dengan', 'paksaan'];['ada', 'banyak', 'hikmah', 'dari', 'bencana', 'covid', 'salah', 'satunya', 'memperlihatkan', 'bahwa', 'disiplin', 'itu', 'bukan', 'kualitas', 'alamiah', 'manusia', 'tapi', 'memang', 'bentukan', 'dengan', 'paksaan'];ada banyak hikmah dari bencana covid salah satunya memperlihatkan bahwa disiplin itu bukan kualitas alamiah manusia tapi memang bentukan dengan paksaan
207;Kamis malam Se-Dunia Mengetuk pintu langit dan munajat doa .. Memohon pada Sang Khaliq..Merayu Sang Maha mendengar.. Meminta Sang Maha Adil Untuk keselamatan Dunia dari wabah Covid-19 NU ku selalu ada , tetap ada dan terus ada;1.0;kamis malam se dunia mengetuk pintu langit dan munajat doa memohon pada sang khaliq merayu sang maha mendengar meminta sang maha adil untuk keselamatan dunia dari wabah covid   nu ku selalu ada tetap ada dan terus ada;['kamis', 'malam', 'se', 'dunia', 'mengetuk', 'pintu', 'langit', 'dan', 'munajat', 'doa', 'memohon', 'pada', 'sang', 'khaliq', 'merayu', 'sang', 'maha', 'mendengar', 'meminta', 'sang', 'maha', 'adil', 'untuk', 'keselamatan', 'dunia', 'dari', 'wabah', 'covid', 'nu', 'ku', 'selalu', 'ada', 'tetap', 'ada', 'dan', 'terus', 'ada'];['kamis', 'malam', 'se', 'dunia', 'mengetuk', 'pintu', 'langit', 'dan', 'munajat', 'doa', 'memohon', 'pada', 'sang', 'khaliq', 'merayu', 'sang', 'maha', 'mendengar', 'meminta', 'sang', 'maha', 'adil', 'untuk', 'keselamatan', 'dunia', 'dari', 'wabah', 'covid', 'nu', 'ku', 'selalu', 'ada', 'tetap', 'ada', 'dan', 'terus', 'ada'];kamis malam se dunia mengetuk pintu langit dan munajat doa memohon pada sang khaliq merayu sang maha mendengar meminta sang maha adil untuk keselamatan dunia dari wabah covid nu ku selalu ada tetap ada dan terus ada
208;Guna memperkecil ruang penyebaran Covid-19, kami menghimbau untuk saudaraku dirantauan agar jangan pulang kampung demi keluarga demi INDONESIA !;1.0;guna memperkecil ruang penyebaran covid   kami menghimbau untuk saudaraku dirantauan agar jangan pulang kampung demi keluarga demi indonesia;['guna', 'memperkecil', 'ruang', 'penyebaran', 'covid', 'kami', 'menghimbau', 'untuk', 'saudaraku', 'dirantauan', 'agar', 'jangan', 'pulang', 'kampung', 'demi', 'keluarga', 'demi', 'indonesia'];['guna', 'memperkecil', 'ruang', 'penyebaran', 'covid', 'kami', 'menghimbau', 'untuk', 'saudaraku', 'dirantauan', 'agar', 'jangan', 'pulang', 'kampung', 'demi', 'keluarga', 'demi', 'indonesia'];guna memperkecil ruang penyebaran covid kami menghimbau untuk saudaraku dirantauan agar jangan pulang kampung demi keluarga demi indonesia
209;Hari ini hari jumaat.Anda rindu solat jumaat?Mudah2an Covid-19 ini berlalu pergi.Mudah2an peperangan ini kita menang.;1.0;hari ini hari jumaat anda rindu solat jumaat mudahan covid   ini berlalu pergi mudahan peperangan ini kita menang;['hari', 'ini', 'hari', 'jumaat', 'anda', 'rindu', 'solat', 'jumaat', 'mudahan', 'covid', 'ini', 'berlalu', 'pergi', 'mudahan', 'peperangan', 'ini', 'kita', 'menang'];['hari', 'ini', 'hari', 'jumaat', 'anda', 'rindu', 'solat', 'jumaat', 'mudahan', 'covid', 'ini', 'berlalu', 'pergi', 'mudahan', 'peperangan', 'ini', 'kita', 'menang'];hari ini hari jumaat anda rindu solat jumaat mudahan covid ini berlalu pergi mudahan peperangan ini kita menang
210;Jom amin kan ramai2.Ya Allah semoga COVID -19 lenyap sebelum Ramadhan Lindungilah kami semua Ya Allah . Assalam;1.0;jom amin kan ramai ya allah semoga covid   lenyap sebelum ramadhan lindungilah kami semua ya allah assalam;['jom', 'amin', 'kan', 'ramai', 'ya', 'allah', 'semoga', 'covid', 'lenyap', 'sebelum', 'ramadhan', 'lindungilah', 'kami', 'semua', 'ya', 'allah', 'assalam'];['jom', 'amin', 'kan', 'ramai', 'ya', 'allah', 'semoga', 'covid', 'lenyap', 'sebelum', 'ramadhan', 'lindungilah', 'kami', 'semua', 'ya', 'allah', 'assalam'];jom amin kan ramai ya allah semoga covid lenyap sebelum ramadhan lindungilah kami semua ya allah assalam
211;kemarin ortu gue minta cekkin tunjangan sertifikasi. lucky masih lumayan. kalau thr batal yaudah. asal emang digunakan buat covid biar kehidupan cepat normal. gedek lama lama gini terus.;1.0;kemarin ortu gue minta cekkin tunjangan sertifikasi lucky masih lumayan kalau thr batal yaudah asal emang digunakan buat covid biar kehidupan cepat normal gedek lama lama gini terus;['kemarin', 'ortu', 'gue', 'minta', 'cekkin', 'tunjangan', 'sertifikasi', 'lucky', 'masih', 'lumayan', 'kalau', 'thr', 'batal', 'yaudah', 'asal', 'emang', 'digunakan', 'buat', 'covid', 'biar', 'kehidupan', 'cepat', 'normal', 'gedek', 'lama', 'lama', 'gini', 'terus'];['kemarin', 'ortu', 'gue', 'minta', 'cekkin', 'tunjangan', 'sertifikasi', 'lucky', 'masih', 'lumayan', 'kalau', 'thr', 'batal', 'yaudah', 'asal', 'emang', 'digunakan', 'buat', 'covid', 'biar', 'kehidupan', 'cepat', 'normal', 'gedek', 'lama', 'lama', 'gini', 'terus'];kemarin ortu gue minta cekkin tunjangan sertifikasi lucky masih lumayan kalau thr batal yaudah asal emang digunakan buat covid biar kehidupan cepat normal gedek lama lama gini terus
212;Covid-19 Lari Kencang Memburu Mangsa, Adminstrasi PSBB Jalan di Tempat? -;-1.0;covid   lari kencang memburu mangsa adminstrasi psbb jalan di tempat;['covid', 'lari', 'kencang', 'memburu', 'mangsa', 'adminstrasi', 'psbb', 'jalan', 'di', 'tempat'];['covid', 'lari', 'kencang', 'memburu', 'mangsa', 'adminstrasi', 'psbb', 'jalan', 'di', 'tempat'];covid lari kencang memburu mangsa adminstrasi psbb jalan di tempat
