,TIDAK BAKU,BAKU
3830,ndalam,dalam
3831,nand,dan
3832,ndan,dan
3833,ndll,dan lain lain
3834,ndana,dana
3835,ndpt,dapat
3836,ndari,dari
3837,ndaripada,daripada
3838,ndasar,dasar
3839,ndsr,dasar
3840,ndaya,daya
3841,ndayak,dayak
3842,ndeket,dekat
3843,ndendam,dendam
3844,ndengan,dengan
3845,ndgn,dengan
3846,ndengar,dengar
3847,ndepok,depok
3848,ndewa,dewa
3849,nank,di
3850,ndiluar,di luar
3851,ndimana,di mana
3852,ndimanapun,di manapun
3853,ndia,dia
3854,ndiem,diam
3855,ndiantara,diantara
3856,ndidudukin,diduduki
3857,ndigoyang,digoyang
3858,ndek,dik
3859,ndikenal,dikenal
3860,ndilan,dilan
3861,nangdi,dimana
3862,ndi,dimana
3863,ndiperlakukan,diperlakukan
3864,ndireksi,direksi
3865,ndiri,diri
3866,ndisana,disana
3867,ndiserbu,diserbu
3868,ndisini,disini
3869,nditanyain,ditanyai
3870,nditegur,ditegur
3871,nditemukan,ditemukan
3872,ndominasi,dominasi
3873,ndomisili,domisili
3874,ndower,dower
3875,ndowoon,dowoon
3876,ndropelepasa,dropelepasa
3877,nduduk,duduk
3878,nduh,duh
3879,nduit,duit
3880,nduku,duku
3881,ndukun,dukun
3882,ndulu,dulu
3883,ndongok,dungu
3884,ndungu,dungu
3885,ndunia,dunia
3886,ndunyo,dunia
3887,nedan,edan
3888,nekonomi,ekonomi
3889,nekor,ekor
3890,nekor6,ekor
3891,nekr,ekor
3892,nekspektasi,ekspektasi
3893,nekspetasi,ekspektasi
3894,nelhanan,elhanan
3895,nelite,elite
3896,nelkana,elkana
3897,neliyakim,elyakim
3898,nemak,emak
3899,nemosi,emosi
3900,mpo,empok
3901,mpok,empok
3902,mpu,empu
3903,nepu,empu
3904,nenak,enak
3905,nentah,entah
3906,nentahlah,entahlah
3907,neropa,eropa
3908,nesdegan,es degan
3909,nfadhli,fadli
3910,nfadli,fadli
3911,nfahri,fahri
3912,nfaaiz,faiz
3913,nfakir,fakir
3914,nfi,fi
3915,movie,film
3916,nfilm,film
3917,nfyi,for your information
3918,nfreeport,freeport
3919,nfwb,friend with benefit
3920,nfpi,front pembela islam
3921,nfull,full
3922,ngadis,gadis
3923,ngaptek,gagap teknologi
3924,ngamis,gamis
3925,ngambekan,gampang mengambek
3926,ngamukan,gampang mengamuk
3927,ngan,gan
3928,nganti,ganti
3929,ngara,gara
3930,ngara2,gara gara
3931,ngaram,garam
3932,ngarang,garang
3933,ngarap,garap
3934,ngaruda,garuda
3935,ngary,gary
3936,ngasal,gasal
3937,ngayamu,gayamu
3938,ndut,gendut
3939,nervous,grogi
3940,mountain,gunung
3941,muahaha,haha
3942,nahahahahhaha,haha
3943,ngahahaha,haha
3944,nehehe,hehe
3945,nehehehe,hehe
3946,nderekgusmus,ikut gus mus
3947,nalong,kalong
3948,nalus,kalong
3949,ndeso,kampungan
3950,ndesomu,kampungan
3951,nelu,kamu
3952,nente,kamu
3953,ngata,kata
3954,ngalor,ke utara
3955,nbalikin,kembalikan
3956,napa2,kenapa kenapa
3957,nape2,kenapa kenapa
3958,napada,kepada
3959,mompas,kompas
3960,ncat,kucing
3961,naileen,kuku palsu
3962,nerd,kutu buku
3963,nauk,lauk
3964,ndelok,lihat
3965,mup,maaf
3966,muahal,mahal
3967,mpr,majelis permusyawaratan rakyat
3968,mprs,majelis permusyawaratan rakyat sementara
3969,mui,majelis ulama indonesia
3970,mu‚,make up artist
3971,nalah,malah
3972,ngalam,malang
3973,mommy,mama
3974,muncungnya,mancungnya
3975,mtan,mantan
3976,mrah,marah
3977,mry,marry
3978,mz2,mas mas
3979,msyrakt,masyarakat
3980,msyrkt,masyarakat
3981,mtmu,matamu
3982,mripate,matanya
3983,mtk,matematika
3984,mrmang,memang
3985,nemang,memang
3986,nemg,memang
3987,nemangnya,memangnya
3988,monitoring,memantau
3989,mwmbenarkan,membenarkan
3990,mrmbuat,membuat
3991,mojok,memojok
3992,mpromosikan,mempromosikan
3993,muja2,memuja
3994,muji2,memuji
3995,muluskan,memuluskan
3996,musingin,memusingkan
3997,musuhi,memusuhi
3998,musuhin,memusuhi
3999,muter,memuter
4000,naboki,menabok
4001,nabrak,menabrak
4002,nabuungg,menabung
4003,nagih,menagih
4004,nakut2,menakuti
4005,namani,menamai
4006,nambahi,menambahkan
4007,nambahin,menambahkan
4008,nambang,menambang
4009,nampar,menampar
4010,namparinn,menampari
4011,nampilin,menampilkan
4012,nacap,menancap
4013,nancepin,menancapkan
4014,neken,menandatangani
4015,nanganin,menangani
4016,nanggapin,menanggapi
4017,nanggepin,menanggapi
4018,nanggung,menanggung
4019,nanges,menangis
4020,nangis,menangis
4021,nangis2,menangis
4022,nangislaj,menangislah
4023,nangkep,menangkap
4024,nantang,menantang
4025,nanyain,menanyakan
4026,naroh,menaruh
4027,narok,menaruh
4028,nasihatin,menasehati
4029,nasihatkan,menasehati
4030,nata,menata
4031,nago,menawar
4032,nawar,menawar
4033,nawar2in,menawari
4034,nawarin,menawari
4035,nayangin,menayangkan
4036,ndisiti,mendahului
4037,musikan,mendengarkan musik
4038,nebar,menebar
4039,nebarkan,menebarkan
4040,negur,menegur
4041,nelfon,menelpon
4042,nelpon,menelpon
4043,nelponin,menelponi
4044,nembak,menembak
4045,nembakin,menembaki
4046,nempel,menempel
4047,nemplok,menempel
4048,nemui,menemui
4049,nemuin,menemui
4050,nentuin,menentukan
4051,nerawang,menerawang
4053,nerka,menerka
4054,nerobos,menerobos
4055,netas,menetas
4056,netes,menetes
4057,ngacangin,mengacang
4058,ngada2,mengada ada
4059,ngadu,mengadu
4060,ngajak2,mengajak
4061,ngajakin,mengajak
4062,ngajarkan,mengajarkan
4063,ngajinya,mengajinya
4064,ngajix,mengajinya
4065,ngajuin,mengajukan
4066,ngaku2,mengaku
4067,mrngakui,mengakui
4068,ngakuin,mengakui
4069,ngalah2in,mengalahkan
4070,ngalahi,mengalahkan
4071,ngalamin,mengalami
4072,mrngalir,mengalir
4073,ngalir,mengalir
4074,ngambang,mengambang
4075,ngabilin,mengambilkan
4076,ngamen,mengamen
4077,ngancem,mengancam
4078,ngadalin,mengandalkan
4080,nganggep,menganggap
4081,nganggur,menganggur
4082,ngangkang,mengangkang
4083,ngangkangin,mengangkangi
4084,ngangkat,mengangkat
4085,ngangkut,mengangkut
4086,nganjing2in,menganjing anjingkan
4087,ngantar,mengantar
4088,ngantuk,mengantuk
4089,ngantukk,mengantuk
4090,nganutnya,menganutnya
4091,ngatai,mengatai
4092,ngataian,mengatai
4093,ngatasi,mengatasi
4094,ngatasin,mengatasi
4095,ngatasinnya,mengatasi
4096,ngatur2,mengatur ngatur
4097,ngawasin,mengawasi
4098,negeri2,mengerikan
4099,ngartii,mengerti
4100,mortgage,menggadaikan
4101,ndusel2,menggusel
4102,ngadepin,menghadapi
4103,ngalus,menghaluskan
4104,mrnghancurkan,menghancurkan
4105,ngancurin,menghancurkan
4106,ngarepin,mengharapkan
4107,ndownload,mengunduh
4108,nenurut,menurut
4109,nenyebalkan,menyebalkan
4110,mrasa,merasa
4112,mrkapun,merekapun
4113,mrumuska,merumuskan
4114,mrupakan,merupakan
4115,mskipun,meskipun
4116,mskpun,meskipun
4117,mrip,mirip
4118,mokondo,modal kontol doang
4119,modalnyo,modalnya
4120,modyar,modar
4121,modarmu,modar kamu
4122,moden,modern
4123,modusbanget,modus banget
4124,moel,moeldoko
4125,murdani,moerdani
4126,moga2,moga moga
4127,mohabbatein305,mohabbatein
4128,monmaap,mohon maaf
4129,moen,momen
4130,moment,momen
4131,momentnya,momennya
4132,momenum,momentum
4133,monastic,monastik
4134,mongol,mongolia
4135,monorit,monosit
4136,monyet2,monyet monyet
4137,monyet2nya,monyet monyetnya
4138,morah,moral
4139,morat,moral
4140,morfotin,morfin
4141,morphin,morfin
4142,mtf,motif
4143,motogp,moto gp
4144,moge,motor gede
4145,moveon,move on
4146,mrebesmili,mrebes mili
4147,mrsm,mrs
4148,muach,muah
4149,muuaak,muak
4150,muakmuakmuak,muak muak muak
4151,muallaf,mualaf
4152,muadzin,muazin
4153,muasin,muazin
4154,muba,mubah
4155,mubaligh,mubalig
4156,muballighnya,mubalignya
4157,mudo,muda
4158,mudika,muda mudi katolik
4159,mudah2an,mudah mudahan
4160,mudah2n,mudah mudahan
4161,mudharat,mudarat
4162,mudharatnya,mudaratnya
4163,mogoladoh,mugholadoh
4164,mohamad,muhammad
4165,mohammad,muhammad
4166,mohd,muhammad
4167,muhamad,muhammad
4168,muhammadi,muhammad
4169,muhkamat,muhammad
4170,msapril,muhammad sapril
4171,muhammadiah,muhammadiyah
4172,muhammady,muhammadiyah
4173,muhammadiyahinggris,muhammadiyah inggris
4174,muharram,muharam
4175,mukenya,mukanya
4176,mukidikepedean,mukidi terlalu percaya diri
4177,mulya,mulia
4178,muliahkanlah,muliakanlah
4179,muliaty,muliati
4180,multifandom,multi fandom
4181,multitalen,multi talenta
4182,molo,mulu
4183,muluk2,muluk muluk
4184,muluss,mulus
4185,muluz,mulus
4186,mulutx,mulutnya
4187,munaf,munafik
4188,munafikk,munafik
4189,munapik,munafik
4190,mynafik,munafik
4191,mucrat,muncrat
4192,murce,murah sekali
4193,murid2,murid murid
4194,murotal,murottal
4195,murtadz,murtad
4196,mtq,musabaqah tilawatil quran
4197,mushola,musala
4198,musholla,musala
4199,museumpergamon,museum pergamon
4200,musarraf,musharraf
4201,music,musik
4202,musik2,musik musik
4203,muslem,muslim
4204,musli,muslim
4205,muslimmepersekusi,muslim mempersekusi
4206,muslimpro,muslim pro
4207,muslimindonesia,muslimin indonesia
4208,mustahal,mustahil
4209,mukernas,musyawarah kerja nasional
4210,musykerwil,musyawarah kerja wilayah
4211,musykerwilnujateng2018,musyawarah kerja wilayah nahdlatul ulama jawa tengah 2018
4212,musykerwilpwnujateng2018,musyawarah kerja wilayah pengurus wilayah nahdlatul ulama jawa tengah 2019
4213,munaslub,musyawarah luar biasa
4214,munas,musyawarah nasional
4215,munasulamapp,musyawarah nasional ulama partai persatuan pembangunan
4216,muspida,musyawarah pimpinan daerah
4217,mutas,mutasi
4218,muthmainah,mutmainah
4219,muttaqin,muttaqin
4220,mutuals,mutual
4221,myamar,myanmar
4222,myanmar1948,myanmar 1948
4223,mys,myself
4224,nabis,nabi
4225,nabinabiafrika,nabi nabi afrika
4226,nbla,nabila
4227,nagitaslavina,nagita slavina
4228,naa,nah
4229,naah,nah
4230,naahh,nah
4231,nach,nah
4232,nakan,nah kan
4233,nahloh,nah loh
4234,napiternya,nah pintarnya
4235,nahdatul,nahdlatul ulama
4236,nahdlatululama,nahdlatul ulama
4237,nahdlyin,nahdliyin
4238,nahin,nahi
4239,naekin,naikan
4240,naikin,naikan
4241,naiking,naikan
4242,naikkan,naikan
4243,nenggolan,nainggolan
4244,nairn,nairn
4245,nadjib,najib
4246,najiss,najis
4247,nakalbolehgoblokjangan,nakal boleh goblok jangan
4248,nakal2an,nakal nakalan
4249,nam,nama
4250,name,nama
4251,namo,nama
4252,nama2,nama nama
4253,namakurudy,namaku rudy
4254,namannya,namanya
4255,namany,namanya
4256,namax,namanya
4257,namnya,namanya
4258,nanatsunotaizai,nanatsu no taizai
4259,nangke,nangka
4260,nati,nanti
4261,natilloh,nanti loh
4262,narsum,narasumber
4263,nas5,nasa
4264,nasbung,nasi bungkus
4265,nasiib,nasib
4266,national,nasional
4267,nasdem,nasional demokrat
4268,nationalist,nasionalis
4269,nasomalisdan,nasionalisme dan
4270,nashrani,nasrani
4271,nataal,natal
4272,natalius,natalia
4273,natrep,nature republic
4274,naudzubillahmindzalik,naudzubillahimindzalik
4275,naufalyn,naufal
4276,ncebi,ncbi
4277,negra,negara
4278,negarahukum,negara hukum
4279,negara2,negara negara
4280,negarany,negaranya
4281,negati,negatif
4282,nethink,negative thinking
4283,negeti,negeri
4284,negisiasi,negosiasi
4285,neekk,nek
4286,nenek2,nenek nenek
4287,newshighlightkbfm,news highlight
4288,nex,next
4289,nex7,next
4290,ngakakk,ngakak
4291,ngamfrak,ngamprah
4292,ngamuk2,ngamuk ngamuk
4293,ngata2in,ngata ngatai
4294,ngata2innya,ngata ngatainnya
4295,ngacoo,ngawur
4296,neue,ngewe
4297,neeh,nih
4298,neehh,nih
4299,morning,pagi
4300,ngasik,pagi
4301,mudeng,paham
4302,most,paling
4303,mostly,paling banyak
4304,newbie,pemula
4305,newbienya,pemula
4306,nfollowers,pengikut
4307,moodbooster,penyemangat
4308,moodboster,penyemangat
4309,mudbus,penyemangat
4310,nbanyakin,perbanyak
4311,move,pindah
4312,mpret,pret
4313,muter2,puter puter
4314,munyeng,puyeng
4315,ndang,segera
4316,nbye,selamat tinggal
4317,nend,selesai
4318,msemiforntt,semi front april
4319,mugi,semoga
4320,mwaa,semu
4321,muah2nya,semua semuanya
4322,ndewek,sendiri
4323,mood,suasana hati
4324,moodmu,suasana hati kamu
4325,moodnya,suasana hatinya
4326,ndah,sudah
4327,nai,tai
4328,nambah2,tambah tambah
4329,nampang,tampang
4330,namapon,tampon
4331,nanggep,tanggap
4332,neg,tawar
4333,nega,tega
4334,ndhog,telur
4335,ndok,telur
4336,nempo,tempo
4337,ndda,tidak
4338,nengga,tidak
4339,ndakda,tidak ada
4340,ngada,tidak ada
4341,ndabisa,tidak bisa
4342,ngabisa,tidak bisa
4343,ngaboleh,tidak boleh
4344,ngajelas,tidak jelas
4345,ngakuadh,tidak kuat
4346,ngakuat,tidak kuat
4347,moh,tak mau
4348,ngausah,tidak usah
4349,ngayah,tidak ya
4350,mouse,tikus
4351,nbantuin,tolong bantu
4352,money,uang
4353,ncamsex,video camera sex
4354,mv,video musik
4355,mvnya,video musiknya
4356,nawaatona,waatona
4357,netijen,warganet
4358,netizen,warganet
4359,neklwkwowkwkwkk,wkwk
4360,ngakakakakaka,wkwk
4361,neealahh,yaelah
4362,safe,aman
4363,sampeyan,anda
4364,samlekom,assalamualaykum
4365,saik,asyik
4366,seizin,atas izin
4367,seksyen,bagian
4368,seberapapun,berapapun
4369,saudaraan,bersaudara
4370,sepedaan,bersepeda
4371,selfie2,berswafoto
4372,search,cari
4373,sempreng,cempreng
4374,sallary,gaji
4375,sangean,gampang sange
4376,saikho,gila
4377,screenshotan,hasil screenshot
4378,scren,layar
4379,rruarr,luar
4380,sabodo,masa bodoh
4381,searching,mencari
4382,sakiti,menyakiti
4383,salami,menyalami
4384,sambangi,menyambangi
4385,samperin,menyamperi
4386,sanggupi,menyanggupi
4387,sarani,menyarankan
4388,saranin,menyarankan
4389,sarankan,menyarankan
4390,sebut2,menyebut
4391,sepakati,menyepakati
4392,setujui,menyetujui
4393,rugiin,merugikan
4394,rusakin,merusaki
4395,rusuhin,merusuhi
4396,russian,orang rusia
4397,servicepara,pelayanannya parah
4398,sendernya,pengirimnya
4399,sellernya,penjualnya
4400,rribantensiangini,radio republik indonesia banten siang ini
4401,ruu,rancangan undang undang
4402,ruumasyarakatadat,rancangan undang undang masyarakat adat
4403,roudhatulkutub,raudhatul kutub
4404,rpl,rekayasa perangkat lunak
4405,rrc,republik rakyat cina
4406,rrt,republik rakyat tiongkok
4407,romen,roman
4408,roman2nye,roman romannya
4409,rumours,romor
4410,rot,root
4411,rostchild,rothschild
4412,ruas2,ruas ruas
4413,rudygoni,rudy goni
4414,rukn,rukun
4415,rukum,rukun
4416,rw,rukun warga
4417,rumahbelajarsianjurmulamula,rumah belajar si anjur mula mula
4418,rumah2,rumah rumah
4419,rs,rumah sakit
4420,rsj,rumah sakit jiwa
4421,rssw,rumah sakit sumber waras
4422,rsup,rumah sakit umum pusat
4423,rusunawa,rumah susun sederhana sewa
4424,rutan,rumah tahanan
4425,rumahtangga,rumah tangga
4426,rumor2,rumor rumor
4427,rosak,rusak
4428,rushdie,rusdhi
4429,russia,rusia
4430,ruscro,rusia kroasia
4431,rusuh2,rusuh rusuh
4432,rudet,ruwet
4433,rymizard,ryamizard
4434,sabangmerauke,sabang merauke
4435,sabaarr,sabar
4436,sabarr,sabar
4437,sabr,sabar
4438,sabrangkidul,sabrang kidul
4439,sabtuceria,sabtu ceria
4440,sabtuminggu,sabtu minggu
4441,sdar,sadar
4442,sdr,sadar
4443,sadarin,sadarkan
4444,sadizz,sadis
4445,sadrist,sadis
4446,saah,sah
4447,sah2,sah sah
4448,sahabah,sahabat
4449,sahabat2,sahabat sahabat
4450,saja‚,saja
4451,sajah,saja
4452,sajahh,saja
4453,sajaian,saja
4454,sakaw,sakau
4455,sakit2,sakit sakit
4456,sakitnya,sakitnya
4457,sakitnyaditelor,sakitnya di telor
4458,salafism,salafisme
4459,salahguna,salah guna
4460,salahbsatu,salah satu
4461,salahin,salahkan
4462,sallam,salam
4463,salambudaya,salam budaya
4464,salam2jari,salam dua jari
4465,salam2periode,salam dua periode
4466,salam2tahun,salam dua tahun
4467,salken,salam kenal
4468,salamu,salammu
4469,saleem,salim
4470,salute,salut
4471,samrisetharian,sam riset harian
4472,samaa,sama
4473,samanya,sama
4474,same,sama
4475,sarua,sama
4476,sama2,sama sama
4477,samasekali,sama sekali
4478,samsek,sama sekali
4479,samain,samakan
4480,samakn,samakan
4481,sabhara,samapta bhayangkara
4482,sambunvan,sambungan
4483,sampai2,sampai sampai
4484,sampe2,sampai sampai
4485,sampaen,sampan
4486,sampin,samping
4487,samuelasetmanajemen,samual aset manajemen
4488,sandan,sandang
4489,sandingkn,sandingkan
4490,sadiwara,sandiwara
4491,sangarr,sangar
4492,sangad,sangat
4493,sangat2,sangat sangat
4494,sangek,sange
4495,sangeaah,sange ah
4496,sangeberat,sange berat
4497,sangenahna,sange tak tertahan
4498,sangup,sanggup
4499,sanjung2,sanjung sanjung
4500,santamaria,santa maria
4501,satri,santri
4502,saber,sapu bersih
4503,saracaen,saracen
4504,sarachen,saracen
4505,sarahah,sarah
4506,saran2,saran saran
4507,saari,sari
4508,sari2,sari sari
4509,sachet,saset
4510,sastera,sastra
4511,santanicverse,satanic verse
4512,satriamadu,satria muda
4513,sati,satu
4514,satuu,satu
4515,seinci,satu inci
4516,seitansai,satu instansi
4517,satu2,satu satu
4518,satu2nya,satu satunya
4519,setim,satu tim
4520,satlinmas,satuan perlindungan masyarakat
4521,satpol,satuan polisi
4522,satgas,satuan tugas
4523,satukanindonesia,satukan indonesia
4524,saudra,saudara
4525,sdra,saudara
4526,sedulur,saudara
4527,sedulurngaji,saudara mengaji
4528,sedulurngajijombang,saudara mengaji jombang
4529,sedulurngajikotabatu,saudara mengaji kota batu
4530,saudara2,saudara saudara
4531,sedulur2,saudarah saudara
4532,sdri,saudari
4533,saveghouta,save ghouta
4534,savekpk,save komisi pemberantasan korupsi
4535,savenu,save nahdlatul ulama
4536,savepalestina,save palestina
4537,saverohingya,save rohingya
4538,saveustadalfian,save ustaz alfian
4539,sawerandirmanida,saweran dirman ida
4540,saweranjateng,saweran jawa tengah
4541,saynk,sayang
4542,sayaang,sayang
4543,sayangghh,sayang
4544,sayank,sayang
4545,sayangkuu,sayangku
4546,sayangnya,sayangnya
4547,sayapnya,sayapnya
4548,sayyid,sayid
4549,scars,scar
4550,scarjo,scarlett johansson
4551,seabadi,seabad
4552,seakan2,seakan akan
4553,seandai,seandainya
4554,serching,searching
4555,seasem,seasam
4556,sebabaduy2018,seba baduy 2018
4557,sebb,sebab
4558,sebaga,sebagai
4559,sbagaimana,sebagaimana
4560,sbgm,sebagaimana
4561,sbgn,sebagian
4562,sebagi,sebagian
4563,sebahagian,sebagian
4564,sebaik2nya,sebaik baiknya
4565,sbaliknya,sebaliknya
4566,sbnyk,sebanyak
4567,sebanyak2,sebanyak banyak
4568,sebarluaskan,sebarkan
4569,sebwah,sebawah
4570,sbelom,sebelum
4571,sbelum,sebelum
4572,sebekum,sebelum
4573,sebelom,sebelum
4574,seblm,sebelum
4575,seblum,sebelum
4576,sebelumndi,sebelum mandi
4577,sblumnya,sebelumnya
4578,sakjane,sebenarnya
4579,sbtlnye,sebenarnya
4580,sebenar,sebenarnya
4581,sebenarny,sebenarnya
4582,sebenarx,sebenarnya
4583,seberulnya,sebenarnya
4584,sebetulnya,sebenarnya
4585,sbenarnya,sebenarnya
4586,sbnernya,sebenarnya
4587,sebenranya,sebenarnya
4588,sakedap,sebentar
4589,satgi,sebentar
4590,sebrang,seberang
4591,sababaraha,seberapa
4592,seberat2nya,seberat beratnya
4593,segede,sebesar
4594,sehelm,sebesar helm
4595,sbisa,sebisa
4596,sbuah,sebuah
4597,sbut,sebut
4598,sbutan2,sebutan sebutan
4599,sbutkan,sebutkan
4600,sebutin,sebutkan
4601,scara,secara
4602,scra,secara
4603,scptnya,secepatnya
4604,secepetnya,secepatnya
4605,secur,secure
4606,secuity,security
4607,sekurity,security
4608,sdang,sedang
4609,sedanq,sedang
4610,sedara,sedarah
4611,sedekahbumi,sedekah bumi
4612,sedeket,sedekat
4613,sediain,sediakan
4614,sedi,sedih
4615,sedihh,sedih
4616,sdikit,sedikit
4617,sedikir,sedikit
4618,saenaknya,seenaknya
4619,sagala,segala
4620,sgla,segala
4621,sglnya,segalanya
4622,seger,segar
4623,sgera,segera
4624,segerombolan,segerombol
4625,segitu2,segitu segitu
4626,sgtunya,segitunya
4627,segregation,segregasi
4628,segerasimpr2017,segregasi majelis permusyawaratan rakyat 2017
4629,seharus,seharusnya
4630,seharusna,seharusnya
4631,sehak,sehat
4632,sehat2,sehat sehat
4633,sehi,sehina
4635,seingetku,seingatku
4636,sejhtera,sejahtera
4637,sejahterahkan,sejahterakan
4638,sejahterakn,sejahterakan
4639,seja,sejak
4640,sejabar,sejawa barat
4641,sejelek2nya,sejelek jeleknya
4642,sekedarnya,sekadarnya
4643,seekali,sekali
4644,sekali2,sekali kali
4645,sekaliaan,sekalian
4646,saiki,sekarang
4647,sekarg,sekarang
4648,sekarnag,sekarang
4649,sekrang,sekarang
4650,sekrng,sekarang
4651,sekarang2,sekarang sekarang
4652,sekate2,sekata kata
4653,sekebon,sekebun
4654,sekelibet,sekelumit
4655,sekenario,sekelumit
4656,sd,sekolah dasar
4657,sekolahdasar,sekolah dasar
4658,sdn,sekolah dasar negeri
4659,seklh2,sekolah sekolah
4660,sekolah2,sekolah sekolah
4661,sekolaan,sekolahan
4662,sekolahin,sekolahkan
4663,sekolahku,sekolahku
4664,setwantimpres,sekretariat dewan pertimbangan presiden
4665,sekjen,sekretariat jenderal
4666,sekjenya,sekretariat jenderalnya
4667,setkabakhirpekan,sekretariat kabinet akhir pekan
4668,sekertaris,sekretaris
4669,sektariannizrm,sektarianisme
4670,sekta,sekte
4671,sektor2,sektor sektor
4672,sekuatnyaa,sekuatnya
4673,sekular,sekuler
4674,sekukerisme,sekulerisme
4675,selkulit,sel kulit
4676,sel2,sel sel
4677,salalu,selalu
4678,selamanyaku,selamanya aku
4679,selamatharikartini,selamat hari kartini
4680,selametan,selamatan
4681,selamatkenhutan,selamatkan hutan
4682,selamatkannkri,selamatkan negara kesatuan republik indonesia
4683,selamatkanulama,selamatkan ulama
4684,selegkahan,selangkangan
4685,selanjuttnya,selanjutnya
4686,selapajang,selapangan
4687,selebih,selebihnya
4688,seleb,selebriti
4689,selebgram,selebriti instagram
4690,salebtuit,selebtwit
4691,sbmptn,seleksi bersama masuk perguruan tinggi negeri
4692,selesei,selesai
4693,selesai2,selesai selesai
4694,selesaiin,selesaikan
4695,selimutin,selimuti
4696,selipin,selipkan
4697,semacem,semacam
4698,semakan,semakin
4699,semakinhari,semakin hari
4700,semalam‚,semalaman
4701,semaleman,semalaman
4702,semangaatt,semangat
4703,semangatpuasa,semangat puasa
4704,semarang‚,semarang
4705,semata2,semata mata
4706,sekarepmu,semaumu
4707,sembaah,sembah
4708,sembah2,sembah sembah
4709,sembelehin,sembelihkan
4710,sembuh2,sembuh sembuh
4711,semnjak,semenjak
4712,semntara,sementara
4713,sempa,sempat
4714,sempaat,sempat
4715,sempet2nya,sempat sempatnya
4716,semprt,semprot
4717,semprull,semprul
4718,semuah,semua
4719,semwa,semua
4720,segampang,semudah
4721,semulajadi,semula jadi
4722,semit,semut
4723,senyam,senam
4724,senng,senang
4725,senang2,senang senang
4726,senengnye,senangnya
4727,senantias,senantiasa
4728,sendir,sendiri
4729,sendr,sendiri
4730,sendrri,sendiri
4731,sendirii,sendiri
4732,sendiri2,sendiri sendiri
4733,sengk,sengak
4734,senpi,senjata api
4735,sensitiviti,sensitivitas
4736,sentilin,sentil
4737,senyama,senyaman
4738,senyum2,senyum senyum
4739,senyumin,senyumi
4740,senyumx,senyumnya
4741,seokjin,seok jin
4742,seolah2,seolah olah
4743,seorang‚ pahlawan,seorang pahlawan
4744,sepakbola,sepak bola
4745,separo,separuh
4746,separoh,separuh
4747,sepata,sepatah
4748,sepernt,seperintah
4749,sepeti,seperti
4750,seprt,seperti
4751,seprti,seperti
4752,sepertimana,seperti yang mana
4753,sepoy2,sepoi sepoi
4754,sepongkon,sepong kontol
4755,sepongkontol,sepong kontol
4756,sepotong2,sepotong sepotong
4757,sept,september
4758,septictank,septic tank
4759,seragamnye,seragamnya
4760,sertijab,serah terima jabatan
4761,serahkn,serahkan
4762,saram,seram
4763,serbuu,serbu
4764,serentak‚ 2018,serentak 2018
4765,sering2,sering sering
4766,serienya,serinya
4767,seriously,serius
4768,seriusan,serius
4769,seriuus,serius
4770,seriusnyinyir,serius nyinyir
4771,serta‚,serta
4772,sertifikatanahjkw,sertifikat tanah jokowi
4773,sesu,sesi
4774,sesimple,sesimpel
4775,sesuatunya,sesuatu
4776,setau,sepengetahuan
4777,setauku,sepengetahuanku
4778,setanalas,setan alas
4779,setan2,setan setan
4780,setabak,setarbak
4781,setegak2nya,setegak tegaknya
4782,setelaj,setelah
4783,setelahnya,setelahnya
4784,sesetengah,setengah
4785,sefamous,seterkenal
4786,setiamelayanijakarta,setia melayani jakarta
4787,setiausaha,setia usaha
4788,settingan,setingan
4789,setorang,setoran
4790,setuja,setuju
4791,setujunya,setuju
4792,setujuu,setuju
4793,setnov,setya novanto
4794,setyanovanto,setya novanto
4795,saumur,seumur
4796,sewajarny,sewajarnya
4797,sexynyaa,sexynya
4798,salom,shalom
4799,saha,siapa
4800,sesiapa,siapa
4801,seswe,siswi
4802,schema,skema
4803,sbek,sobek
4804,sdm,sumber daya manusia
4805,sbbsnsn,surat berharga syariah negara
4806,sby,susilo bambang yudhoyono
4807,selfi,swafoto
4808,selfie,swafoto
4809,selpi,swafoto
4810,screentimenya,waktu menontonnya
4811,slga,alga
4812,smburdul,amburadul
4813,share,bagikan
4814,smak,banting
4815,sok2an,belagu
4816,shopping,belanja
4817,sharinghappiness,berbagi kebahagiaan
4818,smstan,berkirim sms
4819,slek,bermusuhan
4820,sinareng,bersama
4821,sodaraan,bersaudara
4822,shone,bersinar
4823,talanted,bertalenta
4824,songsang,bertentangan
4825,stupid,bodoh
4826,sob,bro
4827,sobss,bro
4828,syantik,cantik
4829,tantik,cantik
4830,sisitipsi,cctv
4831,story,cerita
4832,shegiya,chagiya
4833,sounding2,dengar dengar
4834,sigunakan,digunakan
4835,sholatin,disalatkan
4836,stail,gaya
4837,stile,gaya
4838,style,gaya
4839,shshhs,hem
4840,sidak,inspeksi mendadak
4841,srael,israel
4842,sidoi,jadikan
4843,shortcut,jalan pintas
4844,sontoloyer,kaum sontoloyo
4845,sq,kecerdasan spiritual
4846,shame,kecewa
4847,shameonyou,kecewa padamu
4848,shameonyousby,kecewa padamu susilo bambang yudhoyono
4849,strengthnya,kekuatannya
4850,slepet,kepret
4851,slim,kurus
4852,sue,lama
4853,suee,lama
4854,suwi,lama
4855,sipitan,lebih sipit
4856,soft,lembut
4857,sorry,maaf
4858,snack,makanan ringan
4859,snek,makanan ringan
